Item,Link,Quantity,Cost USD,Cost NZD,Subtotal,Note
3D Printer Plastic,http://diamondage.co.nz/product/pla-standard-colours/,3,,49.95,149.85,"Colors: Diamond & Black & White, Diameter:3mm"
80mm PC Fan,http://www.computerlounge.co.nz/components/componentview.asp?partid=23603,10,,24.95,249.5,
"3D Printer, Ultimaker 2+",http://www.mindkits.co.nz/store/p/9386-Ultimaker-2.aspx,1,,"3,995.00",3995,
Raspberry Pi 3,"https://www.aliexpress.com/item/2016-New-Raspberry-Pi-3-Model-B-BCM2837-1-2G-with-WIFI-and-Bluetooth/32615114907.html?spm=2114.01010208.3.2.1GRPPM&ws_ab_test=searchweb0_0,searchweb201602_5_10065_10068_10084_10083_10080_10082_10081_10060_10061_10062_10056_10055_10054_10059_10099_10078_10079_426_10073_10102_10096_10052_10050_425_10051,searchweb201603_8&btsid=f6b37da7-a945-41d1-b39c-d92aecad919f",100,36.99,52.1559,5215.59,
5v Power Supply Unit,"https://www.aliexpress.com/item/350W-5V-Single-Output-Switching-power-supply-for-LED-Strip-light-AC-to-DC/621198671.html?spm=2114.01010208.3.2.fEMA78&ws_ab_test=searchweb0_0,searchweb201602_3_10065_10056_10068_10055_10054_10059_10099_10078_10079_10084_10083_10103_10073_10102_10080_10096_10082_10081_10060_10061_10052_10062_10050_10051,searchweb201603_6&btsid=a47a7f05-972b-451d-bc7b-29847a9125b7",4,17.8,25.098,100.392,
12v Power Supply Unit,"https://www.aliexpress.com/item/AC110V-220V-To-DC12V-LED-Strip-Power-supply-DC-Adapter-12V-1-25A-2A-3A-6/32698541940.html?spm=2114.01010208.3.1.p2ldkq&ws_ab_test=searchweb0_0,searchweb201602_1_116_10065_117_10068_114_115_113_10084_10083_10080_10082_10081_10060_10061_10062_10056_10055_10037_10054_10059_10032_10099_10078_10079_10077_427_10103_10073_10102_10096_10052_10050_10051,searchweb201603_9&btsid=d2aeb315-377d-4ed6-8cba-cdcf91c23495",2,3.13,4.4133,8.8266,Please choose the 15W option
RJ 45 Keystone Insert,"https://www.aliexpress.com/item/Brand-New-10pcs-RJ45-Module-Unshielded-Keystones-Jack-Cat5e-Network-Ethernet-110-Punch-Down-8P8C-RJ45/32724678008.html?spm=2114.01010208.3.20.5WWKgK&ws_ab_test=searchweb0_0,searchweb201602_3_10065_10056_10068_10055_10054_10059_10099_10078_10079_10084_10083_10103_10073_10102_10080_10096_10082_10081_10060_10061_10052_10062_10050_10051,searchweb201603_6&btsid=9257fdcb-0a09-41c1-a156-b2464d7dfc5f",10,3.99,5.6259,56.259,
Sliding Shelf 1,https://www.elive.co.nz/dynamix-sliding-shelf-350mm-600mm-cd2402.php,2,,80.1,160.2,
Sliding Shelf 2,https://www.jaycar.co.nz/1u-ball-bearing-sliding-rack-shelf/p/HB5450,2,,119,238,
Soldering Iron,https://www.jaycar.co.nz/40w-temperature-controlled-soldering-station/p/TS1620,1,,71.9,71.9,
Ethernet Crimping Tool,https://www.jaycar.co.nz/6p-8p-modular-crimping-tool/p/TH1935,1,,24.9,24.9,
Cat 5 Punch Down Tool,https://www.jaycar.co.nz/cat-5-punch-down-tool-adjustable/p/TH1740,1,,27.9,27.9,
Multimeter,https://www.jaycar.co.nz/ip67-true-rms-autoranging-cat-iv-dmm-with-wireless-usb-interface/p/QM1571,1,,159,159,
RJ45 Jacks,https://www.jaycar.co.nz/rj45-8p-8c-for-stranded-cable-pk-10/p/PP1436,30,,9.9,297,
Cat 5e Spool,https://www.pbtech.co.nz/product/CABDNX2903/DYNAMIX-100M-Cat5E-Ivory-UTP-SOLID-Cable-Roll-350M,2,,50.43,100.86,
10G DAC,https://www.pbtech.co.nz/product/CABHPE1992583/HP-X240-10G-SFP-SFP-12M-DAC-Cable,2,,241.74,483.48,
19Ò Rack,https://www.pbtech.co.nz/product/CHADNX1260/Dynamix-RSFDS12-600-12RU-600mm-Deep-Universal-Swin,1,,538,538,
PDU,https://www.pbtech.co.nz/product/CHSDNX1092/DYNAMIX-8-Port-16A-Metered-PDU-Power-Monitoring-by,1,,139,139,
2TB SATA HDD,https://www.pbtech.co.nz/product/HDDWD2007/WD-2TB-Red-35-SATA3-Intellipower-64Mb-Cache-Hard-D,4,,159.85,639.4,
Ethernet Tester,https://www.pbtech.co.nz/product/ITPDN-1401/Dynamix-RJ-11RJ-45-Link-Tester-for-UTP-network-STP,1,,49,49,
10G NIC,https://www.pbtech.co.nz/product/NICMLX1024/Mellanox-MCX312A-XCBT-ConnectX-3-EN-network-interf,1,,361.1,361.1,
10G Uplink Switch,https://www.pbtech.co.nz/product/SWHLKS2685004/Linksys-LGS552-AU-Managed-Switch-Gigabit-52-port,2,,634.78,1269.56,
,,,,TOTAL:,14334.7176,